,dynasty,author,content,title,keywords
25817,Yuan,黄公望,远望云山隔秋水|近看古木拥陂陀|居然相对六君子|正直特立无偏颇,题云林画,古木 云山 秋水 君子
25825,Yuan,张雨,初阳台上新亭好|一曲笙簧石壁开|惊起玄真狂道士|步虚飞下玉清台,初阳台,步虚 道士 新亭 初阳
25835,Ming,汪广洋,倔强冯陵距海垠|半为鱼鳖半为尘|只今编户闻声教|遗类何由辨马人,岭南杂录三十首 其十,鱼鳖 辨 闻 尘
25847,Ming,欧大任,千金裘马未须论|岁晚天涯短剑存|独少归装双白璧|应知不是过平原,送吴山人还四明 其二,白璧 平原 天涯 岁晚
25856,Ming,来集之,养鹤栽松共几年|故人茅屋万峰前|只应谷口移云住|满洞桃花隔钓船,赠吴半壁,茅屋 钓船 桃花 谷口
25857,Ming,邵宝,江上春风酒一壶|南来拟共对鄱湖|夜深独听庐山雨|却放诗人赋小孤,南康寄陈分巡希冉时希冉之九江一日矣,夜深 庐山 春风 诗人
25865,Song,陈大任,池面嫩荷初泛水|栏边新笋欲齐檐|先生尽景论文饮|不觉斜阳已上帘,题大隐堂,论文 池面 新笋 斜阳
25868,Song,赵抃,庵岩归隐绝纤埃|内外中间安在哉|正似无心云一片|等闲随雨出山来,谢天彭净慧大师见访,纤埃 内外 归隐 出山
25896,Song,史铸,春架秋篱景一同|想因分种自蚕丛|但将酩酊酬佳节|不管花居酒品中,酴醾菊,酩酊 分种 佳节 蚕丛
25904,Song,释文珦,贵游抛果引群狙|大小玄黄赶掷殊|别有白猿归洞里|一生不受俗人呼,香林洞口观猿,大小 俗人 玄黄 洞里
25924,Song,楼钥,曾游明月旧双溪|老去情怀百不宜|梦绕新溪身不到|更休重和寄来诗,次潘安叔寄新溪诗韵,情怀 老去 明月 梦绕
25937,Ming,木泾,隔江遥望绿杨斜|联袂女郎歌落花|风定细声听不见|茜裙红入那人家,题树二绝句 其一,遥望 落花 绿杨 人家
25938,Song,张咏,云居山客草为鞋|路转千峰此寄来|昨日公馀偷步蹑|万端心绪忆天台,谢云居山人草鞋,心绪 云居 山客 昨日
25944,Ming,何良俊,灯下曾观舞丽华|小庭亦复沸筝琶|近来此乐无人解|独有牛家与白家,春日皇甫司勋见过余出小鬟以筝琶侑觞司勋为赋三绝句率尔奉答 其一,丽华 解 灯下 小庭
25945,Ming,欧必元,年来曾共赋凌云|同学俄惊世路分|不是新知逢狗监|汉庭谁颂子虚文,送梁体照入试春宫三首 其一,汉庭 世路 子虚 凌云
25946,Song,彭汝砺,梅与小桃相间栽|梅花应会斗寒开|春风最惬慈亲意|想得安舆暇日来,忆北堂小梅,梅花 慈亲 小桃 春风
25949,Song,李龏,落日天寒客自愁|数枝斜亚涧横流|春风也是多情思|无限清香夜不收,梅花集句 其一一三,清香 数枝 多情 落日
25954,Ming,林廷模,潇湘写出一枝春|宋代王孙笔意新|见说清风更千亩|结茅还可避嚣尘,题赵松雪画竹,清风 见说 潇湘 王孙
25963,Song,丘葵,北风吹我过峥嵘|片石中间水一泓|世事由来总如此|枉教辛苦为虚名,百丈石,峥嵘 北风 辛苦 世事
25974,Song,邵雍,可惜熙熙一片春|不多时节觅无因|眼前园苑知何限|只见莺啼不见人,可惜吟,熙熙 觅 知 莺啼
25977,Song,释绍嵩,玉树交横雪后天|新诗吟得百馀篇|邮筒不住如飞翼|送与襄阳孟浩然,咏梅五十首呈史尚书 其十六,玉树 邮筒 新诗 襄阳
25980,Tang,胡曾,汉江一带碧流长|两岸春风起绿杨|借问胶船何处没|欲停兰棹祀昭王,咏史诗 汉江,碧流 借问 绿杨 春风
25988,Ming,黄佐,潇湘水碧莓苔青|白雁掠云时一声|疏灯古壁照蓬鬓|江湖心事秋冥冥,闻雁二首 其二,江湖 潇湘 心事 冥冥
25992,Ming,李东阳,天下苍生望哺深|君家父子总关心|麦舟亦是区区事|薄俗犹能慨古今,范忠宣,天下 君家 区区 关心
26005,Song,赵善傅,钦从王命寄招提|寂寂荒阶绿草齐|明月夜深接佛阁|看来不比汴梁时,寓居等慈寺感怀,明月 招提 夜深 寂寂
26006,Tang,宋之问,可怜冥漠去何之|独立丰茸无见期|君看水上芙蓉色|恰似生前歌舞时,伤曹娘二首 其一,君看 歌舞 色 芙蓉
26007,Jin,元好问,浩荡春风入绣鞍|可怜东野一生寒|皇州花好无人管|不用新郎走马看,探花词三首 其二,皇州 走马 春风 浩荡
26010,Song,赵蕃,种花本欲娱行客|客子逢花特地悲|忽忽重阳今半月|依然青蕊网蛛丝,道店菊,重阳 客子 行客 蛛丝
26021,Ming,彭孙贻,桃李名园贵主家|绿腰舞女尽宫鸦|上林无限春光好|未放东风第一花,郁轮袍,春光 东风 桃李 名园
26031,Song,王宗贤,符札深投进玉函|琅琅震响穴难探|隔凡不许游人到|一窦中藏万丈潭,大涤洞,中藏 进 琅琅 游人
26032,Ming,朱诚泳,秀毓中央正色深|花开朵朵尽黄金|道妆莫说无妖艳|自有倾阳一点心,黄葵花,朵朵 花开 黄金 中央
26040,Ming,黎贞,剥尽群芳独见梅|看花徐步踏莓苔|明朝又报春风到|写尽花前得意杯,春前一日书,明朝 群芳 春风 莓苔
26047,Ming,陈伯康,剩雨残春送五更|晴光入夏似相迎|绿槐门巷南薰细|又听新蝉第一声,立夏喜晴,残春 晴光 门巷 南薰
26069,Ming,程敏政,半规明月影沈沈|持赠秋来意转深|料得王孙不轻弃|清风常系故人心,题扇寄大衍圣公,明月 清风 王孙 沈沈
26079,Song,郑会,斫藕敲瓜酒面凉|片云如墨不成章|东风忽遣雨西去|相对两乌行夕阳,夏日吴园,夕阳 东风 片云 西去
26083,Ming,张萱,清音小阁倚江皋|白首凭栏望独劳|欲识烟霞真面目|残山剩水试挥毫,初秋写山水寄林澹生道尊 其二,烟霞 面目 白首 挥毫
26101,Ming,刘炳,归棹前年酒满缸|牵衣稚子慰离肠|却怜月色连秋色|依旧他乡忆故乡,京口中秋,月色 稚子 他乡 秋色
26103,Ming,何景明,正月已放山丹花|二月桃杏似云霞|城中少年紫骝马|日暮来寻碧玉家,雨中看花七首 其四,碧玉 城中 日暮 云霞
26106,Song,姚勉,鹄袍待对满京华|刚许癯儒作探花|性淡不知花可探|班头独立紫宸衙,镜斋相士求诗二首 其一,京华 紫宸 作 探花
26108,Ming,任环,蓬影翻风弄酒杯|浪花飞雪点书台|一声鼓角鱼龙动|天党山人驾海来,海上漫成二首 其一,山人 鼓角 酒杯 鱼龙
26109,Song,张景脩,雪天苍翠暑天风|珍重僧轩十八公|不是时人少吟咏|世闲花草易为工,题北山松轩,花草 珍重 吟咏 苍翠
26111,Song,文天祥,淮水淮山阻且长|孤臣性命寄何乡|只从海上寻归路|便是当年不死方,发通州 其三,孤臣 归路 淮水 性命
26113,Ming,夏原吉,茅屋参差似列星|晚风摇曳酒旗青|推篷借问此何处|舟子无言指故亭,过湘城,晚风 借问 茅屋 酒旗
26140,Song,白玉蟾,笔架山头一片云|盘旋岩谷不求伸|时人只恐清风起|吹作皇都雷雨春,盘云 其二,山头 清风 雷雨 岩谷
26142,Ming,鲁铎,季伦当日斗豪华|戚里珊瑚信手挝|谁道汉滨穷措大|宝珠无数不曾夸,宝珠山茶戏作,豪华 谁道 珊瑚 信手
26147,Song,苏泂,西风奕奕细吟商|客枕凄然一夜凉|吟尽苹花浑可事|少留荷叶盖鸳鸯,复过二首 其二,鸳鸯 荷叶 西风 奕奕
26161,Song,刘宰,小立船头看惠山|山尖半在有无间|蚕眠未老秧方绿|且放烟云自往还,舟过惠山,未老 烟云 船头 绿
26170,Ming,成鹫,尺幅波涛万里思|坳堂杯水即天池|凭君开只摩醯眼|看到扶桑日出时,题刘让夫明府行乐图十二 其十二,日出 天池 扶桑 波涛
26181,Ming,孙蕡,幽幽绿树团华盖|聒聒流泉奏玉琴|不必画堂丝与竹|自然山水有清音,幽居杂咏七十四首，自洪武十一年平原还家作也 其五十七,山水 流泉 画堂 绿树
26183,Yuan,刘诜,沩山人日马蹄忙|悬胜轻寒剪剪黄|闲笑梅花无媚骨|至今不洗寿阳妆,癸卯元日晴继复雪亦不废出谷日复晴归乡涂宿上元观灯野庙随所赋得十绝 其五,马蹄 人日 梅花 轻寒
26191,Song,王圭,鱼藻宫中淑景长|鸭头新水御池塘|奇花深院门门闭|总被春风漏泄香,宫词 其二十九,新水 池塘 春风 深院
26193,Yuan,周砥,东望吴门愁路涩|暮帆春雨欲归迟|朝来为说烟尘静|不遇乡人那得知,遇乡人,吴门 欲归 春雨 烟尘
26197,Song,戴表元,愁中待醉何曾醉|梦里还家不是家|输与山行穷学究|一筇一笠看梅花,李元中秀才岁晚游诸公间,梅花 愁中 山行 还家
26202,Jin,李俊民,忆昔争游曲水滨|当轩下马入锦茵|如今不似时平日|风起杨花愁杀人,集古 忆昔,风起 曲水 愁杀 下马
26209,Song,喻良能,岩花乱落随春水|万丈轻红绕驿楼|不是江流似云锦|政应云锦似江流,云锦阁,江流 云锦 春水 岩花
26210,Ming,茅维,秋光晴映薜门开|坐客胡床趣举杯|若问吴侬忙底事|前溪斫荻月明回,答宋季子,月明 秋光 吴侬 胡床
26213,Song,王圭,画栱无尘乳燕飞|薰风时复度罗衣|君王避暑蓬莱殿|向晚笙歌簇辇归,端午内中帖子词 其四 夫人阁,笙歌 蓬莱 君王 薰风
26215,Ming,程敏政,龙形夭矫入青天|根托名园几百年|大厦明堂知有待|临风三诵杜陵篇,赐庄八景为周草亭驸马作 其七 古柏凌霄,明堂 夭矫 青天 名园
26216,Ming,欧必元,短笛同吹杨柳枝|一声嘹喨一声悲|秋风夜送闻何处|此调人间总未知,答梁元襄夜谈见赠,短笛 秋风 杨柳 未知
26219,Ming,俞允文,重关月色早凉分|夜夜砧声逐塞云|泪尽天南与天北|胡笳同是月中闻,捣衣二首 其二,月色 天南 夜夜 胡笳
26223,Jin,邢安国,白沙翠竹溪上村|渔家卖鱼唤行人|西风吹皱一溪水|水光日影金鳞鳞,过唐州西李口,溪水 翠竹 西风 行人
26232,Song,黄庭坚,取之左右逢其原|香严腊月火烧山|对面谩人犹伫思|打得香严也是闲,颂取之左右逢其原,左右 对面 腊月 原
26234,Ming,朱斗儿,妾舟西发君舟东|顷刻天生两处风|此去云山天际渺|寸心千里附冥鸿,赵丽华席上赋别,云山 冥鸿 天际 寸心
26238,Ming,唐顺之,坐看池底绚霞光|疑是莲花火里藏|借问幻师谁会此|乾坤炉冶炭阴阳,游汤泉四首 其二,莲花 借问 阴阳 乾坤
26246,Song,韩淲,地占高明因指顾|万人如蚁正卑喧|江声忽起晚风急|一片斜阳过眼前,百法庵次载叔韵 其九,风急 过眼 斜阳 江声
26248,Song,朱熹,翩然远岳恣游行|慨想当年尚子平|我亦近来知损益|只将惩窒度馀生,感尚子平事,子平 知 度 恣
26249,Song,徐钧,遗金何得似传经|爵让难兄风感深|卒使淮阳谋遂寝|潜消一点废储心,韦贤子元成,难兄 风 淮阳 传经
26250,Song,赵蕃,不到西湖又五年|况当风雪探梅天|出门有愧登山屦|寻友空回访戴船,简徐季益 其二,访戴 西湖 风雪 登山
26256,Song,张方平,醉里翻身天地窄|愁来天地不容身|可怜泽畔行吟客|争似垆边高卧人,对酒,天地 高卧 行吟 醉里
26258,Ming,桑乔,江流九派是浔阳|山势千重拥建康|日暮云帆看不见|梦随江水过横塘,流水,江水 横塘 日暮 江流
26271,Song,李石,香积盂中玉粒圆|自然肥佛胜癯仙|万金有药元非病|一笑拈花却是禅,扇子诗 其十八,病 拈花 圆 香积
26273,Ming,陶安,万点馀香收不得|倚楼莫怨笛声吹|此情已在和羹鼎|自与东风暗有期,题墨梅风烟雪月四首 其一,馀香 倚楼 东风 笛声
26274,Song,陈造,满地榆钱未扫除|画檐忽复燕将雏|风窗梦破搔头坐|重课儿时读了书,早夏 其二,扫除 梦破 搔头 将雏
26276,Song,周弼,三日要行还止住|冷沙寒水暗消春|一千四百芜湖路|怨雨愁风多少人,风恶偶成二首 其二,路 住 愁风 寒水
26279,Ming,罗洪先,年年寒食问饧糖|糁米炊糕入夜忙|今日一抔同水上|杯盘满地有谁尝,悼亡 其一,寒食 满地 年年 入夜
26280,Song,释行海,五月山窗拥绿阴|瘦身闲枕断弦琴|如今不是花时节|可惜黄鹂弄好音,辛亥夏,好音 断弦 绿阴 黄鹂
26284,Ming,陈献章,娉婷郑女著纤罗|能为襄王激楚歌|一曲霓裳都扫尽|尊前无地舞阳阿,漫兴,楚歌 娉婷 襄王 霓裳
26287,Ming,区大相,解家海棠帝苑边|开时车马日喧阗|游人不为金貂贵|近侍能留锦绣筵,解监宅看海棠,海棠 车马 锦绣 游人
26300,Song,周紫芝,两日东风着意颠|南湖风浪不行船|飞沙走石成何事|吹得杨花也上天,湖居春晚杂赋八绝 其七,南湖 着意 东风 风浪
26305,Yuan,贡性之,罗浮山下著青鞋|蹋雪曾看烂熳开|好似人家茅屋底|一枝先占短墙来,题画梅四首 其三,烂熳 茅屋 青鞋 人家
26307,Tang,苏郁,莫把金笼闭鹦鹉|个个分明解人语|忽然更向君前言|三十六宫愁几许,鹦鹉词,解人 金笼 鹦鹉 分明
26310,Song,汪莘,在家每忆松江好|及到松江又忆家|梦见樵青来竹里|笑将渔父插桃花,三月十九日过松江五绝 其一,竹里 渔父 松江 桃花
26313,Ming,屠勋,江上梅花逐梦生|草堂诗景雪初晴|北枝畏冷南枝煖|可是东风亦世情,酬沈元节,世情 南枝 草堂 初晴
26315,Ming,孙承恩,湖上凉风两袖生|满天星斗浸空明|一叶扁舟随所适|只疑今夜上天行,并附家居泛白龙潭诗三首 其一,满天 星斗 扁舟 凉风
26316,Song,朱熹,梦里清江醉墨香|蕊寒枝瘦凛冰霜|如今白黑浑休问|且作人间时世装,墨梅,冰霜 休问 醉墨 清江
26336,Ming,李昱,越王城中泛棹过|紫菱白藕兴偏多|别后风尘不相见|五年江海失阴何,怀郑本初,风尘 城中 失 江海
26343,Ming,张宁,柳坞桃蹊路欲迷|故山春草自萋萋|隔江茆屋无人扣|门掩落花莺乱啼,四景画为朱天锡题 其一,春草 落花 门掩 萋萋
26345,Ming,黄佐,江沙白白枫叶红|鳜鱼拨剌波摇空|相逢渔父不相识|醉舞藤蓑明月中,嘉会楼二首 其二,明月 白白 渔父 枫叶
26357,Song,易士达,浮图突兀起江中|镇压东南气象雄|除却金山馀外地|苍波何处不龙宫,金山寺,气象 浮图 龙宫 东南
26359,Tang,李山甫,君父昏蒙死不回|谩将平地筑高台|九层黄土是何物|销得向前冤恨来,望思台,高台 黄土 死 平地
26373,Song,曾丰,吾疑子亦惯乘机|乃枉华轩扣竹扉|不是梅花不相外|囊犹未瘿若为归,呈罗叔异 其三,梅花 竹扉 华轩 惯
26378,Song,范祖禹,南窗高卧看云生|日暮回风动紫荆|鼓吹不须过野坞|青蛙雨后自能鸣,游李少师园十题 和张二十五游白龙溪甘水谷郊居杂咏七首 其三,鼓吹 高卧 日暮 看云
26383,Ming,陈子壮,百福雕奁倚再三|荼醾滴露渗朝酣|绛唇不用多妆点|二月朱樱已半含,闺词四十首点唇 其三,滴露 妆点 朱樱 倚
26396,Yuan,徐贲,别来怀抱事多因|草草尊前未易陈|既拟相留又还去|也终不似弟兄亲,允中留宿山斋已而复往令弟允升宅明日赋诗谢之,怀抱 弟兄 草草 未易
26397,Ming,李辅,曾向江门弄钓丝|海风吹浪泼蓑衣|忽惊天子黄麻诏|打破先生白鹭矶,白沙赴诏,蓑衣 天子 白鹭 江门
26398,Tang,崔致远,烟峦簇簇水溶溶|镜里人家对碧峰|何处孤帆饱风去|瞥然飞鸟杳无踪,临镜台,孤帆 溶溶 飞鸟 人家
26403,Yuan,宋褧,十里平原晚色低|粉飘红坠绿凄迷|客中无限伤春句|却为乘骢不敢题,三月晦日偶成,平原 乘骢 伤春 凄迷
26411,Song,蔡肇,天上房星不下来|连山刍粟饱驽骀|龙姿逸驾飞腾尽|赖尔毫端力挽回,题李伯时照夜白马图,驽骀 饱 力 飞腾
26437,Song,晁补之,行尽江南最远山|却寻干越上清滩|秋晴云锦溪中过|玉石瑰奇一万般,初上安仁滩清见毛发其中奇石五色可掇拾也从县令借图经溪曰云锦溪村曰玉石村,云锦 远山 瑰奇 江南
26447,Ming,唐寅,落叶风中稻满场|平畴相对瀼东庄|膏腴望望应千顷|黄地黄金下夕阳,东庄图,夕阳 落叶 黄金 望望
26463,Song,陈著,山泉酿出苦醅硬|野蔓生来酸子圆|此味不投甜世界|遣教参透石翁禅,送酒与蒲萄与来石门,圆 山泉 世界 参透
26465,Ming,彭日贞,湫灵无赖强要盟|断送红颜亦太横|纵有哀诚何处托|青天难觅丑先生,恻恻吟 其十二,青天 断送 难觅 红颜
26468,Song,陈东,欲认青帘索酒尝|俄惊丹旐送君丧|吕庄编户伤心切|愁对清风想杜康,送友人丧二绝 其一,送君 青帘 清风 伤心
26472,Song,杨公远,方愧无由洗俗尘|喜逢竹外一枝春|看来未敢轻攀折|待侑诗篇赠故人,寄梅,俗尘 攀折 竹外 诗篇
26476,Ming,郑学醇,修竹檀栾候馆东|别来相见又秋风|囊钱莫更频沽酒|我是愁中君客中,途次逢友人,愁中 秋风 修竹 沽酒
26477,Tang,杜荀鹤,三湘月色三湘水|浸骨寒光似练铺|一夜寒鸿来不住|故乡书信半年无,湘江秋夕,月色 湘水 半年 寒光
26484,Ming,邓云霄,微绡片片度新鸿|影在潇湘远水中|休曳残云泼轻墨|还留馀练作霜空,赞李玉真画雁弹琴二绝 其一,远水 潇湘 残云 片片
26492,Song,释梵琮,遇物合人仰祖风|弊衣遗在一池中|秋风吹破春风补|不犯清波一线功,常禅师荷衣沼,秋风 吹破 清波 春风
26503,Song,廖应瑞,苍崖古刹夹清泉|中有元郎几百年|策杖摩挲看不足|壮怀惆怅大江边,浯溪,大江 摩挲 惆怅 清泉
26504,Song,苏泂,葛巾裹却葛天民|有女闺中号燕春|只在西湖不行脚|金陵风月欠斯人,金陵杂兴二百首 其一二二,西湖 风月 闺中 葛巾
26506,Ming,吴与弼,偶尔闲行绕碧溪|梅花开处咏多时|固知道理平铺在|方寸何容半点私,溪上偶成,梅花 半点 闲行 碧溪
26511,Ming,李之世,姑射轻盈白玉肌|看来疑带绿苔衣|妆台珠颗真无价|一串香丝碧玉围,青茉莉,白玉 碧玉 轻盈 姑射
26513,Ming,唐文凤,黄芦叶飐晚风轻|何事离群独自鸣|云阔天高行已断|江湖遥忆弟兄情,题太常寺丞吕仲善寄弟仲铉双雁图,晚风 弟兄 江湖 遥忆
26514,Ming,罗洪先,逐逐风尘耳目交|又将绮语向人抛|何当收拾真囊橐|月下柴门静自敲,罢试有感,风尘 收拾 耳目 柴门
26516,Song,释德洪,危径盘空一线微|游人举足已先疲|大圆光透难遮掩|不学龙牙眼似眉,次韵空印游山九首 其二,盘空 游人 眉 微
26525,Ming,张元凯,倾盖交情别后真|凭将桐水寄殷勤|怀中一片沧溟月|欲报宣城郡里人,托潘子会致询沈君典,沧溟 倾盖 殷勤 里人
26528,Yuan,叶颙,托根孤峻极尊崇|俯视群芳迥不同|到底谦恭隐君子|何曾仰面笑春风,题雪岩画倒兰,托根 君子 群芳 春风
26534,Song,虞俦,梅山诗集到中都|囊括三江带五湖|却许严诗编杜集|傍观应作丈人乌,姜邦杰以四绝见寄因和之 其三,编 带 丈人 梅山
26548,Ming,张应治,风里飞花高复低|半飘茵席半沾泥|春光摇落浑无主|肠断流莺恰恰啼,偶题,飞花 摇落 肠断 春光
26552,Tang,雍陶,身闲伴月夜深行|风触衣裳四体轻|为见近来天气好|几篇诗兴入秋成,早秋月夜,衣裳 秋成 天气 诗兴
26554,Song,邓深,竹外杨枝学小梅|竹间茅屋白皑皑|撑舟独拥蓑衣出|堪画何须待晚来,晨雪渡洑陂,蓑衣 竹外 茅屋 皑皑
26568,Song,廖刚,陆羽甘泉冷似冰|松江因向令贤明|要须更取中桥水|欲看三君子斗清,戏呈吴江令张明达,甘泉 陆羽 子 松江
26569,Yuan,惟则,斜梅势压石阑干|花似垂头照影看|白昼云阴天欲雪|半池星斗逼人寒,师子林即景六首 其五,白昼 阑干 星斗 照影
26574,Ming,冯鼎爵,红板桥头黄土墙|紫藤千缕寄垂杨|个中不是凡人境|行到前溪有异香,春游和单狷庵韵 其一,垂杨 黄土 桥头 异香
26575,Song,仇远,凄风浩荡散茶烟|小雨霏微湿座毡|肯信今年寒信早|老夫布褐未装绵,立冬即事二首 其二,小雨 霏微 茶烟 浩荡
26581,Ming,黄衷,鹫岭谁开罨画函|玉虹飞沫落云岩|偶来不是缘僧味|惯听黄鹂弄远杉,湘山寺登函秀亭和屠大巡,谁开 罨画 玉虹 黄鹂
26583,Song,周紫芝,竹坡无物可关怀|只有青山眼为开|未识灌溪真面目|烦君著句画将来,送莹老住灌溪 其二,烦君 未识 面目 青山
26585,Ming,王世贞,黄鹄秋翔太华颠|坐攀仙掌扑青天|乘风忽傍东溟转|矫首扶桑帝日悬,于鳞尝为四怀诗寔首余世贞焉其次四寄某某子甲也乃世贞则亦首于鳞馀三人同之寄倍之矣风雨如晦飞龙乖隔每一讽咏泪下绠縻然又有私慰焉于鳞故已挂冠垂当得会耳寄以言托也是不必数子见之 其一 怀于鳞,青天 黄鹄 扶桑 乘风
26587,Song,郑清之,小窗白醉篆香迟|只有书君伴燕颐|料得人间无此乐|殷勤献与定牢辞,南坡口号十八首 其十二,伴 篆香 小窗 殷勤
26603,Song,赵蕃,瓦室人家茅屋边|瓦囷亦与草囷连|池塘过雨尚浮浊|杨柳新栽已带烟,城下道中二首 其一,池塘 过雨 茅屋 人家
26611,Ming,杨士奇,画史皆明造化功|清江不与会稽同|古今吟咏多高致|岂必林家香影中,奉和澹庵少保题梅花韵 其三,造化 吟咏 清江 画史
26619,Song,释正觉,朱丝不用挂烧桐|一曲新丰为送公|后夜老松风籁静|皋禽不见月巢空,送渊上人,挂 老松 新丰 朱丝
26621,Song,葛天民,十里荷风盖尽倾|城中忆杀水边清|催诗末用西湖雨|且送新凉入帝城,湖上新秋,新凉 西湖 城中 帝城
26634,Song,邹浩,烟含夜色迷修竹|雁带秋声落晚沙|不是胸中有云梦|只应凄恻满天涯,湖上 其二,秋声 天涯 夜色 修竹
26635,Ming,刘炳,桃花扇底春风面|一曲吴歌一断肠|紫陌红尘多少梦|鬓丝赢得老刘郎,待渡溪浒写怀 其四,红尘 断肠 刘郎 桃花
26645,Yuan,尹廷高,虚堂四面枕湖光|酝作芙蕖万斛香|独笑南薰更多事|强教西子舞霓裳,西湖十咏 其七 曲院荷风,虚堂 湖光 多事 霓裳
26647,Ming,朱朴,飞来别却乌衣国|梦里犹思白玉楼|零落旧巢人不见|一帘疏雨话春愁,紫白双燕,春愁 玉楼 零落 疏雨
26656,Song,杨公远,荒寒茅屋是谁家|独木桥横小径斜|却是无人行到处|春风先已到梅花,访梅,梅花 茅屋 春风 小径
26669,Song,程少逸,江上群峰泼黛浓|水村烟渚夕阳红|一声啼鸟催耕去|何处龙归急雨中,月珠寺明月楼 其三,夕阳 啼鸟 群峰 急雨
26672,Ming,方献夫,一寸丹心报国馀|归来试把问鸢鱼|行藏用舍吾无累|飞息浮沈若自如,待隐园池亭观物感怀和韵 其三,丹心 行藏 浮沈 报国
26678,Ming,王绂,玉署编书未及完|佩声无复上金銮|可怜残藁留遗箧|掩卷令人不忍看,挽廖检讨先生 其二,玉署 金銮 掩卷 佩声
26685,Yuan,范梈,一春归计又蹉跎|穷粤风光奈病何|总有青山千万叠|行人长少鹧鸪多,过三合驿,鹧鸪 蹉跎 风光 行人
26693,Song,王之道,两年说归明日归|江头草软花芬菲|风调江净船行驶|好看芳草怀春晖,送曾式古归建昌,江头 春晖 明日 芳草
26697,Song,徐积,黄金何日上燕台|致主犹轻乐毅才|便是功名未如意|报恩宁肯惜重来,别崔刑部,报恩 黄金 功名 燕台
26699,Tang,元稹,庭中栽得红荆树|十月花开不待春|直到孩提尽惊怪|一家同是北来人,红荆,红 荆树 花开 庭中
26728,Song,王十朋,灯花端为故人然|留客殷勤为击鲜|更觉门阑增喜气|冰清玉润两俱贤,万清之有诗三绝呈司理贾丈并简某因次其韵 其一,玉润 灯花 殷勤 留客
26729,Ming,欧大任,江风袅袅江月斜|一曲犹闻玉树花|莫问南朝歌舞日|尊前谁似李明霞,吴驾部公择斋中听李生歌得声花二韵 其二,玉树 袅袅 歌舞 江月
26730,Ming,皇甫汸,冬月沉轮空夜阑|绮窗华烛自凝寒|春来依旧清光满|只恐催人不耐看,腊月十五夜待月 其二,催人 凝寒 夜阑 清光
26733,Ming,陈翼飞,金雁欹斜记昔年|轻笼慢撚最堪怜|四条弦索无端绝|一夕春风也飒然,上元夜别,绝 昔年 春风 欹斜
26737,Ming,曹于汴,文殊台上惟月明|水中有石声铿鍧|这番公案凭谁剖|还是石声是水声,南游八首 其三,凭谁 水中 月明 水声
26738,Jin,段成己,候门稚子喜归来|暖热那无酒一杯|抖擞满身尘土尽|襟怀还对好山开,送冯资深归西山 其四,襟怀 稚子 好山 尘土
26742,Song,张耒,断蓬泛梗偶相依|一别重逢又几时|人世悲欢消遣尽|为君流泪忽沾衣,送李十之陕府,悲欢 沾衣 人世 消遣
26746,Song,晁补之,白虹昼下昆仑顶|半入青林久不回|下洞水轮穿地底|冰崖吼怒却重来,开先寺前望瀑布,青林 半入 白虹 昆仑
26750,Yuan,吴镇,隐君重价如结绿|萝屋萧然依古木|篮舆不到五侯家|只在山椒与泉曲,倪云林画,古木 山椒 篮舆 家
26759,Ming,陆治,二月吴淞水上滩|柳丝风急絮漫漫|诗翁赋罢闲凭处|花满春池斗鸭阑,桃花杨柳舞鸭图,柳丝 风急 花满 诗翁
26761,Song,林用中,昔日乘舆住此山|爱山五日住山间|今朝忽动思归兴|得伴先生杖屦还,将下山有作,思归 杖屦 昔日 爱山
26768,Tang,良价,嗟见今时学道流|千千万万认门头|恰似入京朝圣主|祇到潼关便即休,答僧问如何是主中主,学道 认 潼关 主
26781,Song,杨公远,西堂梦彻草塘春|得句浑无半点尘|却喜寥寥千古后|只今分付与诗人,次江草塘,分付 寥寥 半点 诗人
26782,Ming,倪谦,山色浮岚水拍空|钓船闲系绿杨中|饭铛旋𦶟芦柴火|一股炊烟散晚风,题渔舟小景,炊烟 晚风 绿杨 山色
26784,Song,赵顺孙,母在堂前为父忧|特令儿子谒公侯|大人若肯行方便|一点春风在笔头,诗一首,儿子 大人 笔头 春风
26790,Song,张镃,晓边花面雨濛松|莺避金丸翠竹丛|春半风光自招举|按歌姑洗旋移宫,晓边,翠竹 花面 风光 金丸
26798,Ming,欧大任,十二经翻藏室日|五千言著出关年|老夫白首无文字|不是西来第几传,梦人问著书,文字 出关 白首 第
26809,Ming,杨爵,不断悬悬故旧情|梦中携手与同行|觉来展转增凄怆|门外铃声报五更,丙午秋七月朔夜梦友人王泉冈张东台 其二,展转 携手 梦中 门外
26813,Song,周裕,千山环拱号烟村|名曰烟村却不村|路入清湘徒旅众|坐看扰扰到黄昏,烟村,路入 扰扰 黄昏 烟村
26814,Jin,陈规,丰镐无由问故基|三章只见黍离诗|而今多少华清石|都与行人刻艳辞,过骊山,石 华清 黍离 行人
26817,Ming,李攀龙,黄花萧瑟雨中寒|摇落东林木叶丹|不是故人能载酒|祗今秋色好谁看,九月同殿卿登南山 其四,载酒 摇落 黄花 秋色
26831,Song,陈梦建,玉泉天上古仙伯|曾吏五云书阁来|寄语家人须候我|有时骑鹤过丹台,上喻史君重建霞起堂六首 其四,寄语 玉泉 家人 骑鹤
26832,Tang,李縠,休文虽即逃琼液|阿鹜还须掩玉闺|月落金鸡一声后|不知谁悔醉如泥,醉中袭美先月中归,休文 掩 月落 金鸡
