,dynasty,author,content,title,keywords
361,Ming,王世贞,腰间辘轳剑|错莫无精光|不是芙蓉浅|纯钩北斗傍,过于鳞郡斋分韵赋十二体得傍字,辘轳 北斗 浅 芙蓉
109347,Song,秦观,携杖来追柳外凉|画桥南畔倚胡床|月明船笛参差起|风定池莲自在香,纳凉,画桥 胡床 柳外 月明
109362,song,晏殊,绿杨芳草长亭路|年少抛人容易去|楼头残梦五更钟|花底离情三月雨,玉楼春·春恨,楼头 长亭 绿杨 芳草
109533,Song,周邦彦,危台飘尽碧梧花|胜地凄凉属梵家|凤入紫云招不得|木鱼堂殿下饥鸦,凤凰台,碧梧 凄凉 紫云 胜地
109589,Song,欧阳修,蟾精雪魄孕云荄|春入香腴一夜开|宿露枝头藏玉块|晴风庭面揭银杯,白牡丹,银杯 春入 枝头 晴风
109599,Song,欧阳修,人事从来无处定|世涂多故践言难|谁如颍水闲居士|十顷西湖一钓竿,寄韩子华,人事 西湖 居士 钓竿
109656,Song,贺铸,三处分携跨两年|浮云生计本悠然|江山胜地端相待|大有东南未尽缘,留别僧永,浮云 胜地 江山 东南
361,Song,艾性夫,鸦丛桑椹紫|蝶穴菜花黄|水鸭眠依石|竹鸡啼过墙,清趣 其一,竹鸡 啼 花黄 过墙
609,Ming,薛蕙,今朝捲帘坐|时见一花飞|不惜芳菲尽|春风稍稍稀,落花,花飞 芳菲 春风 捲帘
1061,Ming,唐寅,寒溜浸幽壑|危亭点翠微|忽惊双鹤唳|有客款荆扉,山水图,翠微 危亭 鹤唳 荆扉
1118,Tang,无名氏,小水通大河|山深鸟宿多|主人看客好|曲路亦相过,五言诗 其七,鸟宿 主人 大河 山深
1121,Ming,龚诩,娇态殿馀春|芳名艳花谱|樽酒暖风前|僛僛为君舞,南园十咏为南野先生赋 其一 红药翻阶,芳名 暖 樽酒 馀春
1149,Ming,区大相,湖上烟花暝|湖中丝管催|木兰双桨在|何处莫愁来,莫愁湖曲 其一,湖中 烟花 双桨 木兰
1589,Ming,周瑛,踪迹谢尘泥|精神动寰宇|我为苍生忧|呼尔作霖雨,题画龙虎 其一,精神 霖雨 寰宇 踪迹
1656,Song,米芾,簪玳尚谁继|风云那可看|自曾许持送|谈笑未尝乾,鄙诗上呈通判朝奉大夫 其二,乾 看 风云 谈笑
1879,Tang,刘长卿,百丈深涧里|过时花欲妍|应缘地势下|遂使春风偏,入百丈涧见桃花晚开,里 妍 地势 春风
1934,Ming,佘翔,古木参天迥|青山载酒多|谢公墩可拟|词客盛年何,题林德夫乐丘 其四 拟谢公墩,载酒 参天 青山 词客
2279,Song,王圭,万里关山静|清阴满塞榆|如何金殿里|犹献辟兵符,端午内中帖子词 其一 皇帝阁,关山 清阴 金殿 兵符
2288,Ming,区大相,劲节含龙箨|孤标出凤池|最宜风月夜|不遣俗人知,荒馆种竹率尔成咏聊寄一时之兴得十二绝句 其十二,凤池 孤标 风月 俗人
2397,Song,章望之,重复青山里|双峰锁寺门|楼耸排云阁|松盘过路根,明智寺,双峰 寺门 青山 排云
2503,Song,林同,何事不驱蚊|癯然床下身|伤肤非所惧|所惧去伤亲,仙佛之孝十首 其六 吴真君,床 伤肤 去 驱蚊
2610,Tang,徐成,项上如生旋|有之不用夸|环缘不利长|所以号螣蛇,王良百一诗 其十一 毛病,号 夸 长 螣蛇
2684,Ming,吴与弼,土鼓供儿戏|林泉多珍味|风物自依然|流光换人世,对门山,流光 风物 林泉 人世
2949,Song,许应龙,圣德乾坤大|皇图日月长|远人咸畏慕|国势寖安强,皇帝合春帖子 其三,乾坤 日月 皇图 远人
3143,Jin,赵秉文,南北两石门|上下一灵鹫|仰看莲峰立|忽见天门透,郎山杂咏十首 其九 上龙门,南北 石门 莲峰 天门
3688,Ming,王世贞,暂以碧云色|微笼春月圆|抛人暗香里|误马软尘边,题绣毬花,软尘 暗香 碧云 月圆
4100,Tang,韦处厚,激曲萦飞箭|浮沟泛满卮|将来山太守|早向习家池,盛山十二诗 流杯渠,泛 萦 习家 池
4623,Yuan,张玉娘,渺渺涵秋色|澄澄生晓烟|四山潦初歇|寒玉一溪完,幽居四景 其二 水光,渺渺 晓烟 秋色 寒玉
5102,Yuan,柯九思,玻瓈瓶暖翠痕深|萼绿仙人出上林|不放春风吹绣合|妆魂无语昼喑喑,题翠瓶色梅图,萼绿 玻瓈 仙人 春风
5230,Song,周南,吴越台池大业城|如今花鸟故时春|思量却是楞伽塔|曾见苏州六代人,横山寺楞伽塔诗 其三,苏州 花鸟 思量 楞伽
5807,Ming,孙一元,诗书伴我真多事|云卧天行意自闲|半世论交遍天下|眼中惟觉有青山,偶然成诗,天下 诗书 青山 多事
5813,Ming,凌义渠,脚下尽山山未登|游情忽忽叹无能|何堪拄颊西南望|引入苍茫一万层,邵州迤西三百里峰壑遥深萝木邃密行数日触绪皆诗 其一,苍茫 叹 西南 游情
6020,Ming,郑真,笙笛筝琶按得齐|玉人歌舞绣筵低|三郎酣醉真妃笑|谁信渔阳泣鼓鼙,题唐明皇按乐图 其一,鼓鼙 玉人 歌舞 渔阳
6183,Song,张咏,翠辇西巡未有期|玉楼烟锁凤参差|可怜三月花如锦|狂杀满城年少儿,洛中,翠辇 玉楼 满城 烟锁
6311,Ming,庄昶,书来无语不言还|出处谁能付等闲|公有鸢飞鱼跃意|武夷山亦会稽山,寄司马先生 其二,付 鸢飞 武夷 鱼跃
6659,Song,苏泂,月中鼓吹日中归|重领中宫拜寿闱|指点都人最欢喜|今郊恩赦每郊稀,十六日伏睹明堂礼成圣驾恭谢太一宫小臣敬成口号 其三,鼓吹 欢喜 指点 日中
7027,Song,张方平,本规一举定乾坤|遽见长星坠垒门|公在必无生仲达|师昭何业得中原,筹笔驿,乾坤 中原 门 长星
7069,Song,释行海,江南已有杏花开|社日都无燕子来|人在白云流水外|一声折柳十分哀,社日闻笛,白云 流水 折柳 江南
7169,Ming,皇甫汸,万斛玑丝巧织成|银花点点弄春情|玉容翻向光中立|何似仙姝隔水晶,元夕灯下观舞二首 其二,点点 银花 水晶 春情
7252,Song,姜特立,新诗三复用功深|始信今人有古心|斗叶俪花儿辈事|唱高庙瑟有遗音,次洪监簿惠诗韵五首 其二,古心 新诗 儿辈 遗音
7589,Song,黄由,才到松陵即是家|休论恬淡与荣华|古来颜蹠俱尘土|自有时贤定等差,盘墅 无题,松陵 荣华 休论 尘土
7668,Song,范成大,村村篱落总新修|处处田畴尽有秋|一段农家好风景|稻堆高出屋山头,颜桥道中,风景 篱落 山头 农家
7674,Song,周必大,巍楼必欲称元龙|须写褒公与鄂公|鹤毳鸡肤吾老矣|祇宜蓑笠钓船中,太和贡士陈诚之记予颜欲置远明楼昔白傅年七十一写真诗云鹤毳变绿发鸡肤换朱颜予今年适同感而赋此,吾 蓑笠 称 钓船
7769,Yuan,张昱,南州大暑何可当|雪冰不解三伏凉|夜深明月在天上|白露满湖荷叶香,热,白露 南州 荷叶 明月
8237,Song,欧阳修,菡萏香清画舸浮|使君宁复忆扬州|都将二十四桥月|换得西湖十顷秋,西湖戏作示同游者,扬州 西湖 菡萏 画舸
8397,Song,欧阳修,黄金未变千丝柳|白日初迟百刻香|圣主本无声色惑|宫花不用妒新妆,春帖子词 夫人合五首 其三,白日 新妆 黄金 圣主
8693,Song,贺铸,十亩荒池涨绿萍|南风不见芰荷生|隔窗赖有芭蕉叶|未负潇湘夜雨声,题芭蕉叶,南风 芰荷 潇湘 芭蕉
9308,Song,秦观,摄提东直斗杓寒|骤觉中原气象宽|天为两宫同号令|不教春岁各开端,元日立春三绝 其三,斗杓 中原 气象 宽
9382,Tang,韦庄,不见安期悔上楼|寂寥人对鹭鹚愁|芦花雨急江烟暝|何处潺潺独棹舟,访浔阳友人不遇,寂寥 芦花 潺潺 安期
9561,Song,贺铸,莫问居人溺与逃|破篱敧屋宿渔舠|中庭老树秋风后|鹳鹤将雏夺鹊巢,过澶魏被水民居二首 其二,秋风 将雏 老树 居人
361,Song,欧阳修,野水竹间清|秋山酒中绿|送子此酣歌|淮南应落木,初秋普明寺竹林小饮饯梅圣俞分韵得亭皋木叶下五首 其三,酣歌 落木 淮南 秋山
609,Song,欧阳修,笳鼓下层台|旌旗转长屿|桥响骛归轩|溪明望行炬,和人三桥 其一,笳鼓 层台 旌旗 望
1061,Song,欧阳修,阳进升君子|阴消退小人|圣君南面治|布政法新春,春帖子词 皇帝合六首 其二,圣君 君子 新春 南面
1118,Song,欧阳修,元会千官集|新春万物同|测圭知日永|占岁嘉时丰,春帖子词 夫人合五首 其二,集 嘉 新春 知
1121,Song,贺铸,南京一登眺|朔雁正来宾|好去长淮北|殷勤访故人,怀寄寇元弼王文举十首 其四 登飞鸿亭,登眺 长淮 殷勤 好去
1149,Song,贺铸,前日神州尹|声华掩赵张|春风长有待|难树是甘棠,送王西枢出镇郑圃八首 其五,神州 声华 春风 甘棠
1589,Song,贺铸,子仲安贫者|毗陵久罢归|秋风一相忆|赖有燕西飞,怀寄彭城朋好十首 其三 刘四,西飞 秋风 燕 安贫
1656,Song,欧阳修,双鸳刺绣领|粲烂五文章|暂近已复远|犹持歌扇障,拟玉台体七首 领边绣,领 文章 歌扇 双鸳
1879,Song,贺铸,青鵳啖雀雏|饫饱侮鸢乌|不知皂雕力|拿杀北城狐,感兴六首 其二,力 城狐 北 啖
1934,Song,欧阳修,客路逢寒食|花山不见花|归心随北雁|先向洛阳家,花山寒食,寒食 洛阳 归心 客路
2279,Song,贺铸,元弼今安健|音尘久阔疏|早年倾盖意|白首复何如,怀寄彭城朋好十首 其一 寇三,疏 倾盖 白首 音尘
2288,Song,欧阳修,茧馆覆柔桑|新丝引更长|纫为五色缕|续寿献君王,端午帖子 皇后合五首 其一,覆 君王 引 柔桑
2397,Song,贺铸,亭揭奇章榜|斯民孰去思|多惭羊叔子|涕泗岘山碑,江夏八咏 其五 奇章亭,去思 岘山 涕泗 多惭
2503,Song,欧阳修,溪边野芙蓉|花水相媚好|半看池莲尽|独伴霜菊槁,芙蓉花二首 其一,野 池莲 溪边 芙蓉
2610,Song,贺铸,皂雕狞觜爪|飞走披肝脑|不知游猎儿|必尔鞲上老,感兴六首 其三,游猎 老 儿 飞走
2684,Song,贺铸,试吏王文举|俄缠风树哀|明年道濉上|为尔一徘徊,怀寄彭城朋好十首 其十 王三,风树 徘徊 明年 哀
2949,Song,李清照,意帖初宜夏|金驹已过蚕|至尊千万寿|行见百斯男,端午帖子 皇后阁,行见 初 寿 蚕
3143,Song,李清照,莫进黄金簟|新除玉局床|春风送庭燎|不复用沈香,春帖子 皇帝阁,玉局 黄金 春风 沈香
3688,Song,贺铸,杜守王明府|吾知夫不凡|解持馀酒胾|一饫逐臣馋,和邠老郎官湖怀古五首 其四,逐臣 王 明府 吾知
4100,Song,贺铸,曾无沃若饱吴蚕|腹蠹聊供啄木馋|底事殷勤谚元绪|不应有意附炎炎,题汉阳寓舍老桑,吴蚕 饱 炎炎 殷勤
4623,Song,贺铸,黄芦洲渚赤枫林|林外残阳叠嶂深|记得广陵城里市|董源横障卖千金,秋江晚望,枫林 叠嶂 广陵 残阳
5102,Tang,韦庄,睡觉寒炉酒半消|客情乡梦两遥遥|无人为我磨心剑|割断愁肠一寸苗,冬夜,睡觉 遥遥 愁肠 乡梦
5230,Song,欧阳修,乐天曾谪此江边|已叹天涯涕泫然|今日始知予罪大|夷陵此去更三千,琵琶亭,乐天 江边 天涯 予
5807,Tang,韦庄,李白曾歌蜀道难|长闻白日上青天|今朝夜过焦崖阁|始信星河在马前,焦崖阁,白日 星河 青天 蜀道
5813,Song,秦观,银汉初移漏欲残|步虚人倚玉阑干|仙衣染得天边碧|乞与人间向晓看,牵牛花,步虚 阑干 银汉 天边
6020,Tang,韦庄,夕阳滩上立裴回|红蓼风前雪翅开|应为不知栖宿处|几回飞去又飞来,独鹤,夕阳 红蓼 飞去 裴回
6183,Song,秦观,寒食山州百色喧|春风花雨暗川原|因循移病依香火|写得弥陀七万言,题法海平阇黎,花雨 香火 春风 寒食
6311,Song,秦观,燄发郎君更不归|故亭萧瑟异当时|玉笙金管浑如梦|只有梅花三四枝,齐逸亭,萧瑟 玉笙 郎君 梅花
6659,Song,欧阳修,醉翁到处不曾醒|问向青州作么生|公退留宾夸酒美|睡馀攲枕看山横,留题南楼二绝 其二,攲枕 醉翁 青州 看山
7027,Song,晏殊,开樽幸有治聋酝|把叶能无送燕章|所惜近停司饮会|不如村叟醉秋光,社日戏题呈任副枢,开樽 秋光 章 醉
7069,Song,贺铸,国门欲去尚迟迟|况复凄风落照时|犹有京尘坌舟尾|恼人无几庾元规,放舟通津门外作,迟迟 京尘 落照 恼人
7169,Song,秦观,梦里光阴挽不回|掩关独坐万缘灰|偶因问讯维摩病|香积天中施饭来,观辱户部钱尚书和诗饷禄米再成二章上谢 其二,光阴 维摩 掩关 问讯
7252,tang,韦庄,见人初解语呕哑|不肯归眠恋小车|一夜娇啼缘底事|为嫌衣少缕金华,与小女,小车 金华 见人 缘
7589,Tang,韦庄,年年春日异乡悲|杜曲黄莺可得知|更被夕阳江岸上|断肠烟柳一丝丝,江外思乡,春日 断肠 丝丝 年年
7668,Song,欧阳修,试问玉蟾寒皎皎|何如银烛乱荧荧|不知桂魄今何在|应在吾家紫石屏,中秋不见月问客,吾家 银烛 皎皎 试问
7674,Tang,温庭筠,自有林亭不得闲|陌尘宫树是非间|终南长在茅檐外|别向人间看华山,华阴韦氏林亭,终南 茅檐 华山 宫树
7769,Song,欧阳修,彩缕谁云能续命|玉奁空自锁遗香|白头旧监悲时节|珠合无人夏日长,端午帖子词 温成皇后合四首 其三,日长 白头 谁云 锁
154,Song,欧阳修,轻舟转孤屿|幽浦漾平波|回看望佳处|归路逐鱼歌,三桥诗 望佳,轻舟 回看 孤屿 归路
232,Song,范成大,有喜何须药|无尘即是仙|壶中春日月|聊数八千年,代门生作立春书门贴子诗四首 其二,仙 药 日月 壶中
373,Ming,庞嵩,本无媚春态|岂与群世争|贞心对此石|寒岁结真盟,寒翠亭,群 媚 贞心 石
468,Song,程珌,饭已茶三啜|隅中粥一盂|陶然咏皇化|安用东封书,粥罢,咏 封书 东 安用
494,Yuan,詹景仁,几水黄金碾|珍羞莫与俦|玉光吹不散|碗面一轮秋,浮光亭,秋 黄金 吹 俦
582,Ming,欧必元,兹池何日辟|洗耳浪传名|不遇巢由辈|安知泉水清,洗耳泉,浪传 洗耳 水清 安知
756,Song,李师中,燕子知时节|还寻旧宇归|新人方按曲|不许傍帘飞,偶题,还寻 知 新人 燕子
793,Ming,胡奎,窗外翠禽啼|巡檐索笑时|铁心浑不改|只许墨卿知,题墨梅,窗外 巡檐 啼 翠禽
835,Ming,王世贞,一夜点苍山|入君读书舍|芊眠白云色|而亲在其下,为胡元瑞题绿萝馆二十咏 其一 石屏,白云 苍山 读书 点
849,Ming,何吾驺,旧识名花好|秋来本末新|衣裳君莫羡|杂以赠佳人,题芙蓉,衣裳 佳人 旧识 名花
1092,Song,陈诜,有象阶前景|无声膝上琴|何劳今郑卫|视听不关心,和祖择之学士袁州庆丰堂十咏 其二,琴 视听 阶 关心
1166,Song,王安石,日净山如染|风暄草欲薰|梅残数点雪|麦涨一溪云,题齐安壁,雪 草 染 数点
1187,Ming,王世贞,世事久不闻|偶传北来耗|远志在东山|一夕俱小草,夏日抱疴十二绝句 其七,小草 东山 世事 远志
1244,Song,胡宏,独坐千峰下|偶马起徘徊|有谁相共笑|遥见隔溪梅,偶书四首 其三,遥见 徘徊 隔溪 梅
1459,Ming,彭孙贻,松径少人迹|柴扉久始开|谁欤叩门者|不为梅花来,海月庵题壁,人迹 柴扉 梅花 松径
1468,Ming,陈继儒,山中雪色猿|子母常连肘|挂臂饮丹泉|攀花酿仙酒,山中杂咏 其二,攀花 雪色 山中 子母
1565,Ming,史鉴,朝饮前溪水|暮泛前溪舟|溪头有明月|照见古今愁,前溪曲,溪水 溪头 照见 明月
1619,Tang,白居易,渐老只谋欢|虽贫不要官|唯求造化力|试为驻春看,寄李相公,力 驻 造化 官
1806,Ming,屈大均,白芋持为粉|良姜用作齑|雌雄多笋竹|一夜出林齐,白华园作 其十九,齐 竹 出林 雌雄
1959,Ming,湛若水,两舟系彼岸|共说波涛话|我若归去来|江山胜如画,题扇面尽寄陈云山中丞,归去 系 江山 波涛
1974,Ming,屈大均,六十一年前|吾诗已万篇|惟凭儿子记|未任老夫传,示儿明洪 其一,儿子 记 传 吾诗
2011,Song,郭印,辩嗟孟轲劳|清笑伯夷隘|秋毫满六虚|须弥藏一芥,既为谊夫赋坟庐诗乃蒙和韵再成十首为谢兼简韶美以资一噱 其十,伯夷 秋毫 劳 藏
2044,Song,刘克庄,不敢怨夫子|徒悲误妾身|安知同穴者|乃是乞墦人,杂咏一百首 其八十八 齐人妻,误 怨 人 安知
2088,Ming,程敏政,毕竟君可竹|还应竹可君|恨无医俗句|与子播清芬,题倪氏子可竹卷,句 君 清芬 竹
2205,Song,陈师道,黄里含真意|春容带薄寒|欲知谁称面|遍插一枝看,黄梅五首 其四,面 欲知 真意 薄寒
2207,Song,陈著,此去向南西|山高山复低|不逢清话客|已觉倦扶藜,西上罕岭,清话 倦 扶藜 山高
2325,Ming,张吉,先生下堂来|伛偻答我拜|白日当户庭|春光浩无外,次韵留别白沙先生 其三,白日 户庭 伛偻 春光
2439,Ming,童冀,频年事征戍|父子各关山|得似春郊外|吴犍带犊还,题春郊晓牧图,征戍 关山 父子 春郊
2454,Ming,孙承恩,暧暧夕阳沉|林壑倏已暝|樵牧各归来|银蟾上松顶,题小景画册十首 其三,林壑 银蟾 樵牧 夕阳
2724,Ming,何迁,青林千尺阴|覆此山中阁|月出不逢人|门前松子落,万松庵,青林 逢人 月出 山中
2772,Tang,徐成,□黄不用针|涂药妙能深|涓石并葶苈|橘皮使蔚金,王良百一诗 其八十八,妙 橘皮 葶苈 针
2804,Song,曾几,萧散林下风|霜毛极清润|为问载高轩|何如弄闲影,白鹤亭,萧散 霜毛 高轩 林下
2987,Song,张侃,野树参差绿|山花零乱红|夕阳一樽酒|聊与故人同,赠别,夕阳 野树 零乱 山花
3020,Ming,王世贞,匡床金博山|上有鹧鸪斑|轻飔约香雾|袅袅上云鬟,为胡元瑞题绿萝馆二十咏 其十三 博山垆,袅袅 云鬟 香雾 鹧鸪
3038,Song,文同,峡束几重烟|山分数尺天|岩猿与溪鸟|一似过飞仙,下金鸡山,飞仙 烟 峡束 数尺
3071,Ming,梁小玉,松响翩清籁|泉声浣俗尘|白云堪赠客|明月解留人,杂咏 其一,明月 白云 泉声 留人
3125,Song,张至龙,庭前无繁植|疏竹附梅坡|虽然无巨荫|明月飞来多,寓兴十首 其六,荫 附 疏竹 明月
3221,Song,释宝昙,何年倦霖雨|言田亦公心|一犁不入土|无因致千金,史太师入觐赐带以不知官高卑玉带悬金鱼为韵寄呈 其九,土 倦 霖雨 言田
3417,Ming,王世贞,一衲长挂身|寒暑了不涉|肯学沈湘人|秋江缉秋叶,郭山人六绝句 其三 衲,秋江 寒暑 秋叶 沈
3601,Song,蒋之奇,九子芙蓉畔|传灯彼一时|谁无男女相|试问末山尼,九峰寺 其二,芙蓉 传灯 男女 试问
3666,Song,刘克庄,秦尊君卑臣|汉敬贤如宾|解衣南郑将|前席洛阳人,记汉事二首 其二,洛阳 解衣 君 将
3671,Song,释德洪,形与佛祖等|道致人天护|戒净福人天|心空同佛祖,明白庵六首 其二,护 人天 心空 佛祖
3697,Tang,韩愈,直把春偿酒|都将命乞花|祗知闲信马|不觉误随车,游城南十六首 其十四 嘲少年,花 误 信马 闲
3862,Song,项安世,种桑不撩寒|莳粟长苦饥|饥寒从古有|但使愿无违,隐求斋,饥 愿 长苦 饥寒
3970,Ming,宗臣,夜夜歌阳春|青皇失其柄|君携瑶草归|蘼芜孰敢兢,张助甫席上同吴峻伯白伯伦再饯朱主客南还赋得江飞兢渡日草见踏青心十韵 其三,瑶草 蘼芜 阳春 夜夜
4049,Ming,区越,不是逋仙兴|江村晚得诗|身随孤鹤远|心付老梅知,野梅 其二,江村 老梅 孤鹤 逋仙
4070,Tang,王氏妇,分从幽显隔|岂谓有佳期|宁辞重重别|所叹去何之,与李章武赠荅诗 其四,佳期 重重 隔 别
4129,Song,苏轼,谁能铺白簟|永日卧朱桥|树影栏边转|波光版底摇,次韵子由岐下诗，并引 其三 短桥,波光 摇 树影 栏边
4154,Ming,邵宝,莲有君子德|爱多知者鲜|净植起香风|污泥任浅深,冉泾书院十二咏 其八 思濂沼,香风 君子 浅深 任
4156,Ming,黄志尹,王子浮邱侣|罗浮宇内山|凤笙来往处|笙响落人间,浮邱八景 其八 听笙亭,凤笙 罗浮 宇内 王子
4251,Ming,唐之淳,独树庙门前|鸦巢挂纸钱|欲寻遗像问|尘没已多年,滁山道中杂题 其十,欲寻 纸钱 独树 多年
4433,Tang,韦应物,白云埋大壑|阴崖滴夜泉|应居西石室|月照山苍然,怀琅琊深标二释子,石室 白云 月照 大壑
4524,Ming,管讷,客里逢初度|艰难老弟兄|一杯称寿酒|多少故乡情,初度日复呈兄勉翁三首 其一,弟兄 称寿 初度 艰难
4591,Song,真山民,人心有炎凉|我心无欢悲|箧中重自珍|会有薰风时,秋扇,炎凉 薰风 人心 我心
4756,Song,杨蟠,岌岌青松外|安知鸟翼孤|寒猿三叫罢|便是蜀州图,连岩,孤 青松 外 安知
4771,Song,文天祥,诸生旧短褐|张目视寇雠|高义终焉在|白骨更何忧,萧架阁第一百二十四,旧 高义 白骨 短褐
4772,Song,陆游,力不扶微学|心犹守旧闻|壁间科斗字|秦火岂能焚,读书,学 科斗 闻 字
4786,Ming,高启,悠悠众扰去|寂寂孤吟歇|雨过满窗凉|高林上明月,梦中作,明月 雨过 悠悠 寂寂
4823,tang,王维,人闲桂花落|夜静春山空|月出惊山鸟|时鸣春涧中,鸟鸣涧,月出 春山 花落 山鸟
4852,Ming,欧大任,荆涂云一色|淮泗波千里|山僧不出门|藤蒲对花水,雪后泗州游塔寺行役东西颇有河山之感示同游诸子三首 其一,山僧 波 对花 出门
4927,Yuan,张羽,幸逃斤斧忧|独抱风霜节|时有饥禽来|枝头弄明月,题竹,明月 独抱 风霜 枝头
5136,Ming,黄衷,云水深且广|云山高复然|孤舟村店外|好似弄潮天,戏题便面二首 其二,孤舟 云山 云水 村店
5187,Song,徐积,胸中不平气|忽然凌太虚|无人哭一声|半夜思唐衢,思诚斋夜坐,胸中 哭 半夜 气
5268,Ming,周瑛,山头日渐上|山下日渐明|迟尔五色鸟|来为吾道鸣,桐川儒学杂咏十七首 其三 朝阳岭,山头 吾道 鸟 山下
5271,Song,杨蟠,谢公何所忆|白日看云眠|忽梦惠连弟|遂得春草篇,西堂,白日 春草 篇 看云
5410,Song,周麟之,瑞霭浮龙鉴|凉飔拂燕钗|瑶钟献冰醴|暑殿雪盈怀,端午贴子词 皇后阁五首 其一,浮 瑞霭 凉飔 拂
5436,Song,魏了翁,临川数落花|康节爱花谢|若作荣悴观|此特花之下,次韵黄侍郎海棠花下怯黄昏七绝 其四,花谢 观 爱 荣悴
5453,Yuan,郑允端,竹林春雨过|瘦笋迸苔长|坐待成高节|清标出短墙,笋,清标 竹林 高节 雨过
5535,Song,杨万里,白雪堆秾李|红蓝染靓桃|晨妆须蚤看|莫待日华高,芗林五十咏 其二十八 桃李蹊,高 秾李 白雪 日华
5616,Song,苏辙,岧峣山上寺|近在古城中|苦恨河流远|长教眼力穷,留题石经院三首 其一,岧峣 眼力 城中 河流
5705,Yuan,揭傒斯,山深风露冷|何处有花开|直入云林去|香沿石涧来,题信上人春兰秋蕙 其三,云林 风露 花开 山深
5737,Ming,孙承恩,夕阳没晴空|倒影在石壁|长歌归去来|依依远山碧,西湖十景册为唐饬轩题 其五 雷峰晚照,归去 夕阳 远山 长歌
5889,Ming,曹义,晴峰飞翠霭|烟树隐尘区|何处幽闲客|相逢看画图,戏题小扇诸侄各争先以讨走笔以荅之各回物状形十首 其三,烟树 幽闲 画图 隐
5901,Ming,宋登春,长揖辞所知|去去濮水上|执手两无言|秋风为惆怅,留别再赋四首 其一,秋风 去去 惆怅 长揖
5995,Yuan,陆仁,嘉垣绕林色|高标相与清|阴凉流漫入|灵籁答空鸣,碧梧翠竹堂,绕 阴凉 高标 鸣
6083,Ming,李之世,孤亭敞薜萝|石上留芳碣|半岭有人家|秋来拜新月,古冈八景 其八 象山秋月,新月 薜萝 孤亭 人家
6150,Song,洪适,小室坐蒲团|死灰念不作|所以护明珠|精修企先觉,大龙山五咏用家君所和胡别驾韵 其三 密室,明珠 蒲团 护 死灰
6165,Ming,史鉴,桥下水长绿|桥头人自行|春风忽相过|时闻环佩声,听鹤山居十咏分题五首 其一 迎佩桥,桥下 桥头 环佩 春风
6201,Song,林同,未尝吴果菜|何至取吴中|祭我必土产|遗言敢不共,贤者之孝二百四十首 其一六八 张冲,敢 取 吴中 吴
6211,Ming,佘翔,山似淮南秀|人歌丛桂篇|莫论今与昔|异代总登仙,题林德夫乐丘 其六 刘安丛桂,异代 丛桂 淮南 登仙
6295,Ming,何景明,竟夕雨连舍|今朝雨出溪|轻雷千嶂外|斜日数家西,雨后十首 其二,斜日 数家 溪 轻雷
6297,Ming,屈大均,黄金自吴来|精者十三倒|上官争买时|白银不言好,民谣 其八,好 黄金 倒 白银
6376,Song,胡仲弓,篇篇剔蠹鱼|字字编科斗|萤小无晶光|明月入我牖,失题 其二,字字 蠹鱼 科斗 明月
6458,Tang,卢仝,泉溜潜幽咽|琴鸣乍往还|长风剪不断|还在树枝间,新蝉,树 长风 幽咽 剪
6506,Ming,谢肇浙,驱车入云烟|连山齐雪色|怪禽作鬼啼|枯树如人立,早行山中,枯树 驱车 云烟 雪色
6510,Tang,李商隐,尝闻宓妃袜|渡水欲生尘|好借常娥著|清秋踏月轮,袜,月轮 清秋 著 渡水
6564,Ming,屈大均,一峰一回顾|知尔下山时|数遍东西谷|中峰不可知,送人游雁荡 其四,中峰 下山 东西 谷
6608,Ming,谢榛,弱翅凌晨动|繁声向夕流|不知风露里|还得几何秋,咏蝉,繁声 风露 流 凌晨
6654,Ming,袁宏道,君意不在书|著书为谁子|安得东南风|吹君渡湘水,龙湖师 其八,著书 湘水 渡 东南
6688,Song,裘万顷,圣贤去我远|何者名事业|吾欲到彼岸|须君借舟楫,饯吴长文司理用修持贤业教无欠为韵 其四,借 吾欲 舟楫 圣贤
6731,Ming,张宁,云暝千峰暮|林幽万木寒|故情殊未已|谁肯念袁安,杂兴二首 其二,谁肯 袁安 念 暮
6795,Song,许尚,秘宝封坚石|山灵谨护藏|欲为中帑助|时复露辉光,华亭百咏 其二十三 陆宝山,藏 山灵 露 辉光
6803,Song,洪咨夔,草色半有无|梅花间开落|还家正自好|柰此抱离索,分歧四绝呈及甫 其一,梅花 开落 还家 草色
6834,Ming,杨慎,诗人张禺山|喜用白龙字|何事独无诗|留题白龙寺,白龙寺,留题 寺 白龙 诗人
6936,Ming,袁宏道,江行值逆风|陆行招雪雨|何适不艰难|弱夫挽强弩,十二月十八日至蕲阳舍舟从兴国走咸宁道出金牛镇山路如刀脊飞雪浸肤舆人艰窘几不能步然千峰缀雪或如鸦鵛或如积琼亦行役之一快也道中随事口占遂得十六绝句 其一,值 江行 雨 艰难
6949,Ming,释函是,春色有无处|但观寒腊前|迥临村路上|来往白云边,一先,白云 春色 村 边
6989,Song,司马光,我得圣俞诗|于身亦何有|名字托文编|佗年知不朽,圣俞惠诗复以二章为谢 其一,诗 知 名字 托
7089,Ming,屈大均,肉人悲玉斧|冲举尚迟回|寄语青鸾鸟|功成始下来,咏古 其十二,寄语 青鸾 迟回 玉斧
